Pillar,Initiatives/Project,Customer/Business Problem Statement,MLP / Parity / Differentiation,KPIs/OKRs,"Priority 
(A, B, C)","Incept/Build in Quarter
(Q2/Q3/Q4)","Desired Launch
 Quarter
(Q2/Q3/Q4)","Inception Ready?
(Y/N)",Driving Team,Dependent Team,Overall Initaitive Sizing (Q3/Q4),Martech,Communications,UX,AdTech,CPG Media,Traffic Innovation (Project X),PZN,ShopCX- INTERNAL USE ONLY,ShopCX - UI Platform,ShopCX- Pharmacy,ShopCX- Land & Nav,ShopCX - Unified Search,ShopCX-Search&Browse,Exp & Opt (Target),Cart & Checkout,UMA,Tax,Catalog,UX.1,UCA,"
DigitalLabs",EPE,Offer Management,Offer Redemption,Payments,Omnichannel,Digital Order Management System (DOMS),MFC,Acupick,Transportation Services,Pickup Experience,VPOS,Demand Planning,Store Mobility,OSS,Subscription,Rewards,Auto Replenishment,J4U_Clipping/Instant Allocation,Partnership Rewards,"Customer Self Service (Web/Mobile)- (IVR, Chat, social media)",CS Analytics,ECHO,CRM Salesforce,Digital Trust & safety,Functional FAQs,Data Engineering,CDP,Analytics,Data Science,Retail / POS,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
Shopper Experience,"Inventory Availability & Authorizations (includes FAR): Phase 2.1 // Prepare so that when we launch Reviews, customers will be able to make fair comparisons between Own Brands and their National Brand equivalents",,Parity,"Reduced OOS, Increased customer satisfaction, increased availability",B,Q3,Q3/Q4,N,Digital Catalog,,S,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Customer Reviews – Phase 0 - Own Brands Early Collection // Allow customers to provide and see 5 star ratings and reviews of center store items,"Because Own Brands are exclusive to our stores, they will not have syndicated reviews",MLP,Number of reviews collected,,,Q2,Y,Digital Catalog,,,s,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Customer Reviews – Phase 1 –  5 Star ratings and reviews across the Center Store // Allows customers to provide and see innovative reviews of fresh groceries,Help customers make good choices by providing community driven reviews,MLP,73% of catalog review ready,A,Q2,Q2-Q3,Y,Digital Catalog,,,xs,xs,,,,,,X,,,x,,x,,,M,,M,S,S,,,,,,,S,,,,,,,,,,,,,,x,,S,,,,L,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Customer Reviews – Phase 2 –  Innovative reviews for Fresh Flavorful Food // Allow customers to shop for party planning assortment (e.g., catering trays, specialty bakery) via our ecommerce applications",Traditional reviews don't work well for fresh groceries which can vary greatly across seasons and regions,Differentiation,100% of catalog review ready,,Q3,2022,N,Digital Catalog,,,xs,xs,,,,,,,,,x,,x,,,x,,L,L,S,,,,,,,S,,,,,,,,,,,,,,x,,,,,,L,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Made To Order Party planning assortment shopable for Pick Up // Allow customers to shop for made to order RTE meal to add to their DUG/WUG grocery run,,Differentiation,"In store 1P parity: + 1800 BPNs enabled (web + mobile) 
(Current $200M/year in store sales)",A,Q2,Q2,Y,Digital Catalog,,,,xs,,,,,,X,,,L,XS,S,S,L,M,,L,XS,,,X,X,X,,,M,X,M,,X,XS,S,L,XS,,,,,,X,,S,,,,L,X,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Pick up Made to Order RTE meals with groceries // Allow customers to shop for made to order assortment to add to their delivery grocery run,,Differentiation,"In store 1P parity: +300 BPNs enabled 
(Current $40M/year in store sales)",A,Q2,Q2,N,Digital Catalog,,,,,,,,,,X,,,L,S,S,S,L,M,,S,M,,,X,X,X,,,M,X,M,,X,XS,S,X,XS,,,,,,X,,S,,,,L,X,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Delivery of Made to Order with groceries // Allow 3rd party marketplace users (GH, DD, UE, Postmates) to order RTE meals fulfilled by Albertsons stores. Multiple brands (including online only)",,Differentiation,In store 1P parity: 100% MTO BPNs enabled for delivery (3PL),A,"Q2,Q3",Q2/Q3,N,Digital Catalog,,,,,,,,,,X,,,L,S,S,S,XS,M,,S,S,,,X,X,X,,,XS,X,S,,,XS,S,X,XS,,,,,,X,,S,,,,L,X,xs,,,,,,,,,,,,,,,,,,,
Shopper Experience,Made to Order meals on multiple 3rd party marketplaces // Allow in-store or soon-to-be-in-store customers to pre order deli items to pick up later directly from the deli,,Differentiation,In store 3P parity: Top 80% RTE SKUs published on multiple 3rd party marketplaces @ 70% of stores (estimate: +$80M/year sales),A,"Q2,Q3",Q3,N,Digital Catalog,,,,,,,,,,,,,,,,,XL,,,L,XS,,,,,,,,XL,X,XL,,,,S,X,,,,,,,,,,,,,L,X,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Order Ahead, Pick Up at Deli // Ability to shop for a MTO lunch/dinner to be delivered 30-45 mins from now",,Differentiation,Top 90% full service deli SKUs enabled by FY 21. (Current in store sales: $1.1B/year),A,"Q3,Q4",Q4,N,Digital Catalog,,,,,,,,,,X,,,L,X,X,X,M,X,X,X,L,,,X,X,X,,,M,X,M,,,X,,X,X,,,,,,X,X,X,,,,L,X,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Express Meal Delivery // Marketing copy and feature bullets,,Differentiation,Top 95% RTE SKUs enabled by FY21,A,Q3,Q4,N,Digital Catalog,,,,,,,,,,,,,X,X,X,X,XL,L,X,L,M,,,,,,,,M,X,M,X,,L,,X,X,,,,,,X,X,X,,,,M,X,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Syndigo Salsify automation - Phase 2c (marketing copy and feature bullets) // Create content Rules for Content Management,,Parity,Phase 2c: Improved product content for Salsify serviced BPNs,,Q2,Q3,Yes,Digital Catalog,,,,,,,,,,,S,,S,,,,,X,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Syndigo/Salsify Automation Phase 3a - Create content Rules for Content Management // Enhanced Content Server side and Multiple Images (Salsify),content management for the site,Parity,Image and Content Management rule engine. It will save 3-5 hours per week for users that manually upload images and content to override data,,Q2,Q3,No,Digital Catalog,,,,,,,,,,,,,S,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Syndigo/Salsify Automation Phase 3b - Enhanced Content Server side and Multiple Images (Salsify) // Ingest Enhanced Content (Server side),Improved SEO crawlers ,Parity,Boost Web traffic and improved SEO crawlers,,Q3,Q3-Q4,No,Digital Catalog,,S,,,,,,,,,,,L,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Syndigo/Salsify Automation Phase 4 - Ingest Enhanced Content  for Syndigo(Server side) // Ingest and consumer additional Videos,Improved SEO crawlers ,Parity,Improved SEO crawlers ,,Q3,Q3-Q4,No,Digital Catalog,,S,,,,,,,,,,,L,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Syndigo/Salsify Automation Phase 5 - Ingest and consume videos // Integrate with Syndigo score card, Own brands to use enhance content tool",Include videos on the site,Parity,Improved content for 150k BPNs,,Q4,Q4,No,Digital Catalog,,M,,,,,,,,,L,,L,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Syndigo/Salsify Automation Phase 6 - Integrate with Syndigo score card, Own brands to use enhance content tool // authorization/authentication for Catalog UI",,Parity,Review content health,,Q4,Q4,No,Digital Catalog,,?? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Self service authorization/authentication for Catalog UI // DAM enhancements,create user based rules to access Catalog UI tool,MLP,Reduce Catalog team's requests,,Q2,Q2-Q3,No,Digital Catalog,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSO,,,,,,,,,,,,,,,,
Shopper Experience,DAM - Phase 2 // Create a Power BI dashboard for Catalog's backend reporting ,"Phase is not defined yet but we are looking to add enhancements to include videos, De-commission BOX/IVIE's DAM, integrate with creative tools etc",MLP  ,,A,Q2-Q3,Q3-Q4,No,Digital Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Catalog Reporting: UI Dashboard / Power BI / Validation / Status // Digital Bundles - Provide customers with an enhanced shopping experience by seeing similar items clubbed together. Items may have different price points, and different images, but seeing those items clubbed together will allow customers to make purchases together at the time of order entry. Key metric is customer engagement time is made more productive with greater conversions.","This will give user the ability to view/report on backend data that needs user attention example - SMIC that dont have a shelf code, number of blocks, CBA reporting etc",MLP,Improved operational efficiency - User will not have to go through 20+ reports each week and this acts like a central place,,Q3,,No,Digital Catalog,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power BI team,,,,,,,,,,,,,,,,
Shopper Experience,"Digital Bundles // Provide the ability to add several attributes to Item Catalog to comply with federal, state, and local regulations on when and which items may be sold with regards to geography and timing.","Customers today may not realize that while shopping for one item, they are forgetting to buy a related item. When our order workflow prompts the customer to consider items that go together, customers will appreciate the convenience of buying together. Potential basket size economies and discounting could be employed to make this initiative a win-win situation. ",Differentiator,"Increased customer satisfaction, increased conversions due to reduced time searching for items leading to greater conversions.",A,Q2,Q3,Y,Digital Catalog,,,,S,,,,,,,,,M,,M,,L,M,,M,M,M,,,,,M,M,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Item Restrictions // Provide the ability to group items that have a defined attribute with similar characteristics that make an item a variant. The concept of variant will group items with different flavors under one umbrella SKU. This prevents the customer from having to refer back and forth between different product pages since swatch images will show the variations of a product in one place.,Customers get frustrated today seeing an item they would like to purchase only to find out during checkout that we prevent them from completing that transaction due to local laws (e.g. it is prohibited to sell alcohol in Texas on Sunday before noon).,Parity,"Indemnification against lawsuits for non-compliance against laws, reduced risk to lose liquor license; increased customer satisfaction since they are informed upfront what may or may not be added to cart",A,Q2,Q2,Y,Digital Catalog,,,,S,,,,,,X,,,,,,,XL,S,,S,S,S,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,SKU Relationships (e.g. Variants) // Develop technology to review expiry dates on items to take it out of stock when they are no longer eligible to be sold,Customers find it time consuming to shop for different types of items that are very closely related (e.g. different flavors of icecreams) since these items are all displayed in different pages.,Differentiator,Average basket size increase. Increased customer engagement with reduced time to build carts,A,Q2,Q2- Q3,Y,Digital Catalog,,,,S,,,,,,,,,,,,,M,M,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Perishable Items // Replicate Portland DS algorithms for instore items to apply logic so that OOS metrics are improved thereby providing a better shopping experience for our customers.,,Differentiator,"Risk of selling expired items reduced, increased customer satisfaction, more accurate availability leading to better forecasting and decreased OOS.",B,Q2,Q2,Y,Digital Catalog,,,,xs,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Replicate Portland test // Since FaR systems cannot provide inventory levels when they are running low, it is necessary to develop DS algorithms to predict low inventory levels at the item-store levels. These algorithms will take into account item inventory, forecast, picking, consumption, fulfillment to outline low inventory levels that will then be displayed to the customer. Iterating upon this logic will also provide customers the ability to reserve items in the future with a greater degree of accuracy.",,Parity,Decreased OOS,A,Q2,Q2,Y,Digital Catalog,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,
Shopper Experience,Dynamic Threshold Management // Develop DS algorithms to accurately predict when seasonal items wil come in stock and when they will go out of stock,,Parity,"Decreased OOS, increased availabilty, increased customer satisfaction",A,Q2,Q3,N,Digital Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Seasonal Items // Phase 1.0 MLP: Chinese grocery selection for delivery to Bay Area customers,,Parity,"Decreased OOS, increased availabilty, increased customer satisfaction",A,Q3,Q2 2022,Y,Digital Catalog,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Marketplace 1.0 // Phase 1.1 Expanded Asian Selection & Marketplace Platform Integration,,MLP,Grow unique selection by 50K SKUs within 1Y of launch,A,Q2,Q3,N,Digital Catalog,,,,,,,,,,,L,,X,,X,X,XL,X,TBD,XL,X,,,,,,TBD,,L,X,,,,M,,,,,,,,,X,,X,,,,,,L,,,,,,,,,,,,,,,,,,,
Shopper Experience,Marketplace 1.1 // Catalog UI tool Enancement ,,Parity / Differentiation,,A,Q2,Q4,N,Digital Catalog,,L,,,,,,,,,L,,X,,X,X,XL,X,TBD,X,X,,,,X,,TBD,,L,X,,,,X,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Catalog Enhancements //  Create a customer-centric, digitally integrated, innovative and convenient experience for our customers.",Add enhanced features to the tool to improve operation efficiency,,Improve operational effciency and save time by 2-4 hours per week,,Q2-Q4,Iterative & Ongoing,,Digital Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Tax - ability to include tax as a child item. // Steam Catalog data to EDM from each Catalog POD, enabling EDM to be a single source of Catalog runtime data for internal and external partners.",,Parity,Comply with local laws,A,Q2,Q3-Q4,N,Digital Catalog,,,,,,,,,,,,,,,,,M,Y,M,Y,Y,Y,Y,,,,XS,Y,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Intelligent automated removal of ROG/Store blocks // With the help of smart block removal logic we will remove outdated ROG/Store blocks so that the customer is able to find online items that are sold in store,"With the help of automated, intelligent logic we we will remove outdated ROG/Store blocks so that the customers will be better able to find online items that are sold in store",Parity ,Increase availability by 40 bps,A,Q2,Q2,N,Digital Catalog,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Shopper Experience,Catalog Data streaming to EDM // Support for Landscape mode,,Parity,Make catalog data available in near real time and Eliminate daily data feeds from Catalog runtime as it  not a core catalog function. ,,Q2,Q2,Y,Digital Catalog,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,XS,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // UMA Analytics: Item Availability,ADA Accessbility requirement for WCAG 2.1 AA compliance,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // UMA Analytics: Channel Based Assortment,Cleanup analytics tracking in app to match Web and track customer behavior through the purchase funnel,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // UMA Analytics: Related Products,Cleanup analytics tracking in app to match Web and track customer behavior through the purchase funnel,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // UMA Analytics: WYSIWYG,Cleanup analytics tracking in app to match Web and track customer behavior through the purchase funnel,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // UMA Analytics: PFM,Cleanup analytics tracking in app to match Web and track customer behavior through the purchase funnel,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Dietary Chanels MLP P13n,Cleanup analytics tracking in app to match Web and track customer behavior through the purchase funnel,Parity,,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,PZN // UI Only: CPG Monetization fed by API into  CPG specific CMS Parity Zone,"Gather explicit dietary preferences and show customers personalized content/channels based on their dietary selection, helping them shop faster with higher relevance.",Parity,Retention & Add to Cart/List From Home ,A,Q2,Q2,,Personalization,,,,,,,,,X,,X,,,,X,S,,L,,S,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,M,,,,,,,,,,,,,,,,,,
Shopper Experience,CPG // Shopping method selection enhancements,Drive CPG monetization in UMA. Ned AEM Support,Parity,CPG monetization on UMA,A,Q2,Q2,Y,CPG,,,,,,,X,,,X,M,,X,,,,,S,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"UMA // Onboarding to opt into Push, Select their Store, capture Email/SMS in funnel",Customers do NOT know how to easily shop omni-channel.,Parity,BNCs & Reg Conversion,B,Q2,Q2,Y,UMA,,,,,,,,,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // My Account Preferences app parity - Phase 1.5,Effectively capture critical information/opt-in from customers to drive marketing communication and unlock the ability to enter their Phone # at the POS,Parity,BNCs & Reg Conversion,B,Q2,Q2,Y,UMA,,,xs,xs,,,,,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // iOS App Clips for Acquisition,"Get my account up to par with web experience and add ability to control communication preferences, enabling more effective marketing communication",Parity,BNCs & Reg Conversion,B,Q2,Q2,Y,UMA,,,,,,,,,,,,,,,,,,S,,,X,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // iOS App Widgets,Acquire customers throughout their In-store journey via App Clips,Parity,BNCs & Reg Conversion,B,Q2,Q2,N,UMA,,,xs,,,,,,,X,?,,X,,X,,,M,,X,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Enhancements on Deals page,Make UMA tools easiliy accessible via App Clips on their iOS home screen,Parity,BNCs & Reg Conversion,B,Q2,Q2,N,UMA,,,,,,,,,,,,,,,,,,M,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // My Items / Lists ,Continue to refine and enhance the Deals page to help Legacy Loyalty Customers continue their shopping behaviors of clipping coupons,Parity,Time to Shop & Basket Size,A,Q2,Q2,Y,UMA,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Check Out Redesign,"UMA MLP launched without My List capabilities, which has impacted our In-store customers not being able to check coupons/items off of their list.",Parity,Time to Shop & Basket Size,A,Q2,Q2,N,UMA,,,,,,,,,,X,?,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Cart Redesign,"Checkout enhancements to improve conversion and to build a platform to launch other intiatives like SNAP, Native Payments, etc.",Parity,Order Conversion,A,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,S,L,,,,X,,,,,S,,S,,,,,,X,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Update Order status CTA's to be customized per use case,"Cart enhancements to improve conversion and to build a platform to launch other intiatives like Substitutions, Recommendations, etc.",Parity,AOV & Order Conversion,B,Q2,Q2,,UMA,,,,,,,,,,,,,,,,,S,L,,,,X,,,,,S,,S,,,,,,X,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Marketplace Bay Area,Help customers ALWAYS know where their order is and easily take action based on the status.,Parity,ECOM CSAT & Reduce Callcenter Contacts,B,Q2,Q2,,UMA,,,s,xs,,,,,,,,,,,,,,S,,,,,,,,,,X,S,X,,,,,X,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Fulfillment accuracy enhancements to dynamic slotting,"Customers want to shop locally, in a single app",Parity,AOV & Order Conversion,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Unified Search enhancemnts (omni-search),Customers expect to get what they ordered AND get it on time,Parity,Order frequency & CSAT,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Meals & grocery in one checkout,"Customers want to search for products, deals, meals, services, etc. in a single search experience",Parity,AOV & Reduce Time to Shop,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // CMS enhancements for evaluated content,Customers want to easily checkout with their meals & groceries in a single transaction,Parity,AOV & Order Conversion,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"UMA // Omni, frequency based Buy It Again",Customers want to see refreshed content tailored to them and evaluated based on implicit & explicit data.,Parity,AOV & Reduce Time to Shop,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // In-store Shopping List,Customers want to quickly repurchase their favorited items.,Parity,AOV & Reduce Time to Shop,,Q3,Q3,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"UMA // In the moment, in cart substitutions","Customers want to get in and out of our stores as quick as possible, without forgetting anything OR missing a deal.",Parity,MAUs & CSAT,,Q4,Q4,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Personalized discovery based on shopping preferences,Customers want to have influence on their substitutions.,Parity,AOV & Order Conversion,,Q4,Q4,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Meals & meal planning,Customers expect an app experience that tailored to them.,Differentiation,AOV & Reduce Time to Shop,,Q4,Q4,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // In-store mode,Customers want to do their meal planning and grocery shopping in a single experience.,Differentiation,AOV & Reduce Time to Shop,,Q4,Q4,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Voice & voice list,Customers want tools to help them get in and out of the store with as little friction as possible.,Differentiation,MAUs & CSAT,,Q4,Q4,,UMA,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // App clips,"Customers want to effortlessly add items, deals, etc. to their shopping list using their voice, while juggling other tasks. ",Differentiation,AOV & Reduce Time to Shop,,Q4,Q4,,UMA,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // App widgets,"Customers who don't know about our app want to learn about it, in the moment, when it's relevant ",Differentiation,"BNCs, MAUs & CSAT",,Q4,Q4,,UMA,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Integrated Search,Customers want quick access to tools they use frequently to shop with us. ,Differentiation,"BNCs, MAUs & CSAT",,Q4,Q4,,UMA,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,UMA // Reduce all OOS measures (predictive and fulfillment metrics) either through implementation of FaR and through rethinking the DS algorithmss. Also includes measures like replicating the Portland tests,Customers want to search for products and  dealsin a single search experience,Differentiation,AOV & Order Conversion& Clip rate,,Q2,Q2,,UMA,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Reduced OOS // Refine DS salgorithms to reduce OOS, increase selection and availability",,Parity,"Decreased OOS, increased availability",A,Q2,Q2,Y,Digital Catalog,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,
Shopper Experience,Instacart // Integrating Cart data with Snowflake,,Parity,"Decreased OOS, increased availability",A,Q2,Q2,Y,Digital Catalog,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,
Shopper Experience,Transactions // ML based Substitutions.-Phase2-New UX experienence,,,,B,Q3,Q3,,C&C,,XS,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Experience Fundamentals - Substitutions // nan,,MLP ,"In 2021, Reduce customer support refunds and complaints by 50%. 
Decrease OOS cancellations by 25%. 
Decrease substitutes when customer said DoNotSub by 50%.

Edited",B,Q1,Q2,,C&C,,,S,,,M,S, ,,X,,,X,S, ,S, ,X, ,, , ,,,,,,,,,,,,,,,,,M,,,,,,need prioritisation,,,16,,,,,,,,,,,,,,,,,,,,,,
